ID,Year_Birth,Education,Marital_Status,Income,Customer_For,Last_Purchase,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Childrens,Spent,Family_Size,Age,Frequency,Monetary,TotalKids,Campaign_Accept_Rate,Cluster
1994,1983,Graduate,Couple,42308,15/11/2013,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,1,19,3,42,4,19,1,0.0,5
387,1976,Undergrad,Couple,7500,13/11/2012,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,0,61,2,49,6,61,0,0.0,5
2125,1959,Graduate,Single,63033,15/11/2013,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,0,1102,1,66,16,1102,0,0.0,2
8180,1952,Postgrad,Single,59354,15/11/2013,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,2,310,3,73,15,310,2,0.0,4
2569,1987,Graduate,Couple,17323,10/10/2012,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,0,46,2,38,5,46,0,0.0,5
2114,1946,Postgrad,Single,82800,24/11/2012,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,0,1315,1,79,26,1315,0,0.4,0
9736,1980,Graduate,Couple,41850,24/12/2012,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,2,96,4,45,9,96,2,0.0,4
4939,1946,Graduate,Couple,37760,31/08/2012,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,0,317,2,79,13,317,0,0.0,1
6565,1949,Postgrad,Couple,76995,28/03/2013,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,1,1782,3,76,26,1782,1,0.2,3
2278,1985,Undergrad,Single,33812,03/11/2012,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,1,133,2,40,8,133,1,0.0,5
9360,1982,Graduate,Couple,37040,08/08/2012,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,0,316,2,43,12,316,0,0.0,5
5376,1979,Graduate,Couple,2447,06/01/2013,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,1,1730,3,46,43,1730,1,0.0,3
1993,1949,Postgrad,Couple,58607,23/12/2012,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,1,972,3,76,17,972,1,0.2,3
4047,1954,Postgrad,Couple,65324,11/01/2014,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,1,544,3,71,20,544,1,0.0,1
1409,1951,Graduate,Couple,40689,18/03/2013,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,1,444,3,74,20,444,1,0.0,1
7892,1969,Graduate,Single,18589,02/01/2013,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,0,75,1,56,8,75,0,0.0,5
2404,1976,Graduate,Couple,53359,27/05/2013,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,2,257,4,49,14,257,2,0.0,4
5255,1986,Graduate,Single,31159,20/02/2013,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,3,11,0,1,637,2,39,27,637,1,0.0,3
9422,1989,Graduate,Couple,38360,31/05/2013,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,1,131,3,36,9,131,1,0.0,5
1966,1965,Postgrad,Couple,84618,22/11/2013,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,0,1672,2,60,26,1672,0,0.2,2
6864,1989,Postgrad,Single,10979,22/05/2014,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,0,30,1,36,8,30,0,0.0,5
3033,1963,Postgrad,Couple,38620,11/05/2013,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,0,318,2,62,11,318,0,0.0,1
5710,1970,Graduate,Couple,40548,10/10/2012,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,1,120,3,55,9,120,1,0.2,5
7373,1952,Postgrad,Single,46610,29/10/2012,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,2,302,3,73,17,302,2,0.0,4
8755,1946,Postgrad,Couple,68657,20/02/2013,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,0,1196,2,79,18,1196,0,0.0,3
10738,1951,Postgrad,Single,49389,29/08/2013,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,2,65,3,74,6,65,2,0.0,4
4339,1970,Postgrad,Couple,67353,31/12/2013,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,1,913,3,55,28,913,1,0.0,3
10755,1976,Undergrad,Couple,23718,02/09/2013,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,1,81,3,49,9,81,1,0.0,5
8595,1973,Graduate,Single,42429,11/02/2014,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,1,67,2,52,7,67,1,0.0,5
2968,1943,Postgrad,Single,48948,01/02/2013,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,0,902,1,82,24,902,0,0.2,3
8601,1980,Graduate,Couple,80011,29/04/2013,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,1,1395,3,45,21,1395,1,0.0,3
503,1985,Postgrad,Couple,20559,12/03/2013,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,1,53,3,40,7,53,1,0.0,5
8430,1957,Graduate,Couple,21994,24/12/2012,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,1,22,3,68,4,22,1,0.0,1
7281,1959,Postgrad,Single,53411,05/11/2013,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,3,11,0,0,186,1,66,9,186,0,0.0,1
2139,1975,Postgrad,Couple,7500,02/10/2013,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,1,31,3,50,8,31,1,0.0,5
1371,1976,Graduate,Single,79941,28/06/2014,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,0,984,1,49,16,984,0,0.0,2
9909,1996,Undergrad,Couple,7500,09/11/2012,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,0,122,2,29,10,122,0,0.0,5
7286,1968,Graduate,Couple,41728,24/05/2013,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,1,55,3,57,5,55,1,0.0,5
7244,1951,Graduate,Single,53472,01/01/2014,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,3,11,0,3,124,4,74,10,124,3,0.0,4
6566,1954,Postgrad,Couple,72550,08/11/2012,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,2,1319,4,71,28,1319,2,0.0,3
8614,1957,Graduate,Single,65486,12/05/2014,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,1,507,2,68,17,507,1,0.0,1
4114,1964,Postgrad,Couple,79143,11/08/2012,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,0,1693,2,61,29,1693,0,0.0,2
1331,1977,Graduate,Single,35790,02/01/2013,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,1,72,2,48,7,72,1,0.0,5
2225,1977,Graduate,Single,82582,07/06/2014,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,0,1617,1,48,21,1617,0,0.4,0
9381,1978,Graduate,Couple,66373,12/06/2013,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,2,606,4,47,23,606,2,0.0,3
6260,1955,Postgrad,Couple,82384,19/11/2012,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,0,1957,2,70,27,1957,0,0.2,2
10383,1966,Graduate,Single,70287,02/04/2013,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,0,1093,1,59,21,1093,0,0.0,2
7437,1988,Graduate,Single,27938,28/04/2014,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,1,29,2,37,6,29,1,0.0,5
8557,1982,Graduate,Single,45618,17/06/2013,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,3,11,0,1,46,2,43,7,46,1,0.0,5
8375,1968,Postgrad,Couple,55954,03/03/2014,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,1,518,3,57,19,518,1,0.0,3
6853,1982,Postgrad,Single,75777,04/07/2013,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,0,1438,1,43,21,1438,0,0.4,0
3076,1975,Graduate,Couple,66653,07/09/2012,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,2,612,4,50,22,612,2,0.0,3
1012,1952,Graduate,Single,61823,18/02/2013,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,1,884,2,73,24,884,1,0.0,3
6518,1951,Postgrad,Single,67680,11/06/2013,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,1,606,2,74,19,606,1,0.0,1
4137,1948,Graduate,Couple,70666,06/12/2013,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,0,1076,2,77,16,1076,0,0.0,2
8082,1971,Graduate,Couple,25721,21/05/2013,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,1,34,3,54,5,34,1,0.0,5
1386,1967,Graduate,Couple,32474,11/05/2014,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,2,11,4,58,4,11,2,0.0,4
9369,1979,Undergrad,Single,88194,19/03/2014,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,1,1274,2,46,32,1274,1,0.4,0
4477,1958,Graduate,Couple,69096,27/09/2013,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,1,653,3,67,18,653,1,0.0,3
1357,1970,Graduate,Couple,74854,08/04/2013,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,3,1562,5,55,19,1562,3,0.0,3
1402,1954,Postgrad,Couple,66991,11/09/2012,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,0,1253,2,71,21,1253,0,0.0,2
10629,1973,Undergrad,Couple,34210,14/09/2012,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,3,11,0,1,109,3,52,9,109,1,0.0,5
6312,1959,Graduate,Couple,65031,17/03/2013,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,1,863,3,66,30,863,1,0.0,3
8132,1975,Postgrad,Couple,60631,05/04/2013,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,2,661,4,50,24,661,2,0.2,3
1050,1952,Graduate,Couple,28332,30/04/2014,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,0,65,2,73,8,65,0,0.0,1
5846,1977,Graduate,Single,40246,19/12/2012,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,1,13,2,48,4,13,1,0.0,5
1859,1972,Postgrad,Couple,75251,27/08/2012,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,0,1890,2,53,19,1890,0,0.0,2
7503,1976,Graduate,Single,75825,12/10/2012,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,0,2209,1,49,22,2209,0,0.2,2
10401,1976,Undergrad,Couple,26326,04/09/2013,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,0,18,2,49,4,18,0,0.0,5
1618,1965,Graduate,Couple,56046,02/01/2013,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,0,692,2,60,21,692,0,0.2,3
3332,1985,Graduate,Single,29760,29/08/2012,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,1,165,2,40,12,165,1,0.0,5
2261,1969,Graduate,Couple,26304,23/06/2013,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,1,16,3,56,4,16,1,0.0,5
5346,1973,Undergrad,Couple,23559,03/07/2013,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,1,79,3,52,9,79,1,0.0,5
535,1987,Graduate,Single,81361,25/02/2014,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,0,778,1,38,27,778,0,0.0,2
5268,1960,Graduate,Couple,29440,11/08/2013,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,2,56,4,65,7,56,2,0.0,4
273,1970,Postgrad,Couple,36138,16/07/2013,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,2,151,4,55,13,151,2,0.2,4
4452,1957,Graduate,Single,50388,28/05/2014,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,1,372,2,68,17,372,1,0.4,1
8504,1973,Graduate,Couple,79593,12/05/2014,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,0,1366,2,52,19,1366,0,0.2,2
771,1967,Graduate,Couple,54178,21/01/2014,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,1,194,3,58,10,194,1,0.0,1
8996,1957,Postgrad,Couple,55337,19/11/2012,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,3,11,0,3,603,5,68,29,603,3,0.0,3
9235,1957,Graduate,Single,60037,27/05/2014,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,2,18,3,68,4,18,2,0.0,4
5798,1973,Postgrad,Couple,54859,23/11/2013,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,3,11,0,0,985,2,52,15,985,0,0.0,2
11178,1972,Postgrad,Single,42394,23/03/2014,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,1,32,2,53,5,32,1,0.0,5
2230,1970,Postgrad,Couple,23626,24/05/2014,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,1,43,3,55,10,43,1,0.0,5
7516,1983,Graduate,Couple,30096,22/05/2014,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,1,45,3,42,6,45,1,0.0,5
7247,1960,Graduate,Single,47916,22/11/2012,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,1,606,2,65,22,606,1,0.2,3
11100,1972,Graduate,Single,51813,11/04/2013,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,2,63,3,53,7,63,2,0.0,4
4646,1951,Undergrad,Couple,78497,01/12/2013,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,0,978,2,74,25,978,0,0.2,2
3037,1983,Postgrad,Couple,50150,20/06/2013,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,0,410,2,42,16,410,0,0.0,5
1473,1960,Undergrad,Single,47823,23/07/2013,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,1,72,2,65,7,72,1,0.0,1
1016,1959,Postgrad,Single,34554,30/03/2014,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0,1,55,2,66,7,55,1,0.0,1
4518,1979,Graduate,Couple,85693,20/04/2013,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0,1,1169,3,46,27,1169,1,0.0,3
9370,1945,Postgrad,Couple,65846,17/05/2013,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0,0,1120,2,80,16,1120,0,0.0,2
8908,1959,Graduate,Couple,87195,08/05/2014,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1,0,1097,2,66,20,1097,0,0.0,2
8373,1979,Undergrad,Couple,24594,10/12/2013,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0,1,29,3,46,5,29,1,0.0,5
7533,1964,Graduate,Couple,49096,24/09/2013,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,0,2,187,4,61,13,187,2,0.0,4
2683,1969,Graduate,Couple,52413,02/02/2013,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,0,2,910,4,56,26,910,2,0.0,3
3629,1978,Graduate,Single,38557,19/12/2012,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,3,11,0,1,145,2,47,9,145,1,0.0,5
10991,1960,Postgrad,Couple,89058,07/12/2012,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0,0,850,2,65,14,850,0,0.0,2
5077,1979,Graduate,Couple,77298,02/11/2013,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0,1,969,3,46,24,969,1,0.0,3
7431,1991,Postgrad,Single,68126,10/11/2012,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,3,11,1,0,1820,1,34,17,1820,0,0.2,3
3267,1963,Postgrad,Couple,57288,25/06/2014,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,3,11,0,1,608,3,62,20,608,1,0.2,3
999,1991,Graduate,Single,86037,02/01/2013,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,3,11,1,0,730,1,34,25,730,0,0.4,0
9215,1980,Postgrad,Couple,43974,12/12/2012,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,3,11,0,1,551,3,45,21,551,1,0.0,3
2286,1962,Graduate,Single,50785,10/09/2013,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,3,11,0,2,114,3,63,8,114,2,0.0,4
1592,1970,Graduate,Couple,90765,24/01/2014,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,3,11,0,0,1724,2,55,15,1724,0,0.4,0
367,1978,Undergrad,Couple,36550,19/02/2013,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,3,11,0,1,577,3,47,20,577,1,0.0,5
5234,1967,Undergrad,Couple,30753,11/07/2013,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,3,11,0,2,81,4,58,7,81,2,0.0,4
9862,1969,Graduate,Couple,21918,14/11/2013,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,3,11,0,1,33,3,56,7,33,1,0.0,5
9805,1953,Postgrad,Couple,56129,20/06/2013,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,3,11,0,1,660,3,72,22,660,1,0.0,3
6205,1967,Postgrad,Single,32557,24/02/2014,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,3,11,1,1,80,2,58,9,80,1,0.0,1
8442,1985,Postgrad,Couple,19510,04/09/2013,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0,2,30,4,40,6,30,2,0.0,5
7386,1976,Graduate,Single,30992,22/04/2013,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,3,11,0,1,43,2,49,5,43,1,0.0,5
7215,1983,Graduate,Single,101970,12/03/2013,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,3,11,1,0,1135,1,42,27,1135,0,0.6,0
1491,1965,Undergrad,Couple,71488,18/02/2013,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,3,11,0,0,559,2,60,16,559,0,0.0,2
11071,1984,Graduate,Single,79607,21/04/2013,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,3,11,1,0,1923,1,41,16,1923,0,0.0,2
3381,1953,Postgrad,Couple,54348,08/06/2014,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,3,11,0,2,90,4,72,8,90,2,0.0,4
8268,1961,Postgrad,Couple,60176,11/07/2013,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,3,11,0,1,404,3,64,17,404,1,0.0,1
11051,1956,Postgrad,Couple,77376,10/05/2014,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,3,11,0,2,661,4,69,23,661,2,0.0,3
8026,1952,Graduate,Couple,62998,30/09/2013,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,3,11,0,1,463,3,73,19,463,1,0.0,1
433,1958,Postgrad,Single,61331,10/03/2013,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,3,11,0,2,632,3,67,23,632,2,0.0,3
9597,1969,Graduate,Couple,73448,10/02/2014,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,3,11,0,0,725,2,56,19,725,0,0.0,2
1295,1963,Graduate,Couple,59759,11/08/2013,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,3,11,0,1,725,3,62,19,725,1,0.0,3
5290,1964,Postgrad,Couple,41551,14/08/2013,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,3,11,0,2,279,4,61,16,279,2,0.0,4
1685,1967,Postgrad,Couple,62981,17/03/2013,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,3,11,0,0,1482,2,58,23,1482,0,0.2,2
5342,1976,Undergrad,Single,9548,08/08/2012,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,3,11,0,1,29,2,49,6,29,1,0.0,5
9579,1959,Postgrad,Couple,33762,07/07/2013,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,3,11,0,3,106,5,66,9,106,3,0.0,4
7660,1973,Postgrad,Single,35860,19/05/2014,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,3,11,1,2,49,3,52,6,49,2,0.2,4
1461,1965,Postgrad,Single,36921,28/07/2013,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,3,11,0,2,38,3,60,7,38,2,0.0,4
821,1992,Postgrad,Single,92859,19/10/2012,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,3,11,0,0,2077,1,33,22,2077,0,0.0,2
11084,1976,Postgrad,Couple,65104,14/11/2013,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,3,11,1,1,1053,3,49,17,1053,1,0.0,3
8690,1962,Graduate,Couple,86111,19/04/2013,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,3,11,0,0,1385,2,63,23,1385,0,0.0,2
2937,1974,Postgrad,Single,68352,28/08/2013,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,3,11,0,1,871,2,51,25,871,1,0.0,3
9701,1988,Graduate,Couple,41883,19/03/2013,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,3,11,0,1,312,3,37,12,312,1,0.0,5
9949,1976,Graduate,Couple,59809,18/10/2012,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,3,11,0,2,877,4,49,15,877,2,0.0,4
10837,1975,Graduate,Couple,23957,28/10/2012,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,3,11,1,1,68,3,50,6,68,1,0.0,5
3120,1981,Graduate,Couple,38547,28/08/2013,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,3,11,0,1,22,3,44,4,22,1,0.0,5
5885,1973,Undergrad,Couple,35688,22/08/2012,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,3,11,0,3,211,5,52,16,211,3,0.0,4
4050,1966,Postgrad,Couple,49605,21/06/2014,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,3,11,0,0,127,2,59,8,127,0,0.0,1
3830,1953,Postgrad,Couple,59354,24/04/2014,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,3,11,0,2,459,4,72,16,459,2,0.0,1
7987,1969,Graduate,Couple,65747,07/03/2014,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,3,11,0,1,460,3,56,19,460,1,0.2,3
7798,1972,Undergrad,Couple,46344,14/12/2012,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,3,11,0,1,429,3,53,17,429,1,0.0,5
92,1988,Graduate,Single,34176,12/05/2014,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,3,11,0,1,89,2,37,11,89,1,0.0,5
7055,1952,Postgrad,Couple,61010,09/10/2012,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,3,11,0,1,1021,3,73,26,1021,1,0.0,3
