ID,Year_Birth,Education,Marital_Status,Income,Dt_Customer,Last_Purchase,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Childrens,Total_Spent,Total_Purchases,Family_Size,Age,Customer_For_Months
503,1985,Master,Couple,20559,12/03/2013,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,1,53,7,3,31,153
8430,1957,Graduation,Couple,21994,24/12/2012,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,1,22,4,3,59,156
7281,1959,PhD,Single,58501,05/11/2013,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,3,11,0,0,186,9,1,57,145
2139,1975,Master,Couple,7500,02/10/2013,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,1,31,8,3,41,146
1371,1976,Graduation,Single,79941,28/06/2014,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,0,984,16,1,40,137
9909,1996,2n Cycle,Couple,7500,09/11/2012,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,0,122,10,2,20,157
7286,1968,Graduation,Couple,41728,24/05/2013,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,1,55,5,3,48,151
7244,1951,Graduation,Single,53472,01/01/2014,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,3,11,0,3,124,10,4,65,143
6566,1954,PhD,Couple,72550,08/11/2012,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,2,1319,28,4,62,157
8614,1957,Graduation,Single,65486,12/05/2014,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,1,507,17,2,59,139
4114,1964,Master,Couple,79143,11/08/2012,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,0,1693,29,2,52,160
1331,1977,Graduation,Single,35790,02/01/2013,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,1,72,7,2,39,155
2225,1977,Graduation,Single,82582,07/06/2014,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,0,1617,21,1,39,138
9381,1978,Graduation,Couple,66373,12/06/2013,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,2,606,23,4,38,150
6260,1955,Master,Couple,82384,19/11/2012,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,0,1957,27,2,61,157
10383,1966,Graduation,Single,70287,02/04/2013,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,0,1093,21,1,50,152
7437,1988,Graduation,Single,27938,28/04/2014,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,1,29,6,2,28,139
8557,1982,Graduation,Single,45618,17/06/2013,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,3,11,0,1,46,7,2,34,150
8375,1968,PhD,Couple,55954,03/03/2014,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,1,518,19,3,48,141
6853,1982,Master,Single,75777,04/07/2013,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,0,1438,21,1,34,149
3076,1975,Graduation,Couple,66653,07/09/2012,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,2,612,22,4,41,159
1012,1952,Graduation,Single,61823,18/02/2013,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,1,884,24,2,64,154
6518,1951,PhD,Single,67680,11/06/2013,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,1,606,19,2,65,150
4137,1948,Graduation,Couple,70666,06/12/2013,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,0,1076,16,2,68,144
8082,1971,Graduation,Couple,25721,21/05/2013,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,1,34,5,3,45,151
1386,1967,Graduation,Couple,32474,11/05/2014,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,2,11,4,4,49,139
9369,1979,2n Cycle,Single,88194,19/03/2014,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,1,1274,32,2,37,141
4477,1958,Graduation,Couple,69096,27/09/2013,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,1,653,18,3,58,146
1357,1970,Graduation,Couple,74854,08/04/2013,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,3,1562,19,5,46,152
1402,1954,Master,Couple,66991,11/09/2012,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,0,1253,21,2,62,159
10629,1973,2n Cycle,Couple,43558,14/09/2012,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,3,11,0,1,109,9,3,43,159
6312,1959,Graduation,Couple,65031,17/03/2013,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,1,863,30,3,57,153
8132,1975,PhD,Couple,60631,05/04/2013,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,2,661,24,4,41,152
1050,1952,Graduation,Couple,28332,30/04/2014,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,0,65,8,2,64,139
5846,1977,Graduation,Single,40246,19/12/2012,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,1,13,4,2,39,156
1859,1972,Master,Couple,75251,27/08/2012,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,0,1890,19,2,44,160
7503,1976,Graduation,Single,75825,12/10/2012,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,0,2209,22,1,40,158
10401,1976,2n Cycle,Couple,26326,04/09/2013,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,0,18,4,2,40,147
1618,1965,Graduation,Couple,56046,02/01/2013,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,0,692,21,2,51,155
3332,1985,Graduation,Single,29760,29/08/2012,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,1,165,12,2,31,160
2261,1969,Graduation,Couple,26304,23/06/2013,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,1,16,4,3,47,150
5346,1973,2n Cycle,Couple,23559,03/07/2013,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,1,79,9,3,43,149
535,1987,Graduation,Single,81361,25/02/2014,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,0,778,27,1,29,141
5268,1960,Graduation,Couple,29440,11/08/2013,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,2,56,7,4,56,148
273,1970,Master,Couple,36138,16/07/2013,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,2,151,13,4,46,149
4452,1957,Graduation,Single,50388,28/05/2014,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,1,372,17,2,59,138
8504,1973,Graduation,Couple,79593,12/05/2014,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,0,1366,19,2,43,139
771,1967,Graduation,Couple,54178,21/01/2014,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,1,194,10,3,49,143
8996,1957,PhD,Couple,47729,19/11/2012,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,3,11,0,3,603,29,5,59,157
9235,1957,Graduation,Single,60037,27/05/2014,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,2,18,4,3,59,138
5798,1973,Master,Couple,43847,23/11/2013,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,3,11,0,0,985,15,2,43,145
11178,1972,Master,Single,42394,23/03/2014,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,1,32,5,2,44,141
2230,1970,PhD,Couple,23626,24/05/2014,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,1,43,10,3,46,139
7516,1983,Graduation,Couple,30096,22/05/2014,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,1,45,6,3,33,139
7247,1960,Graduation,Single,47916,22/11/2012,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,1,606,22,2,56,157
11100,1972,Graduation,Single,51813,11/04/2013,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,2,63,7,3,44,152
4646,1951,2n Cycle,Couple,78497,01/12/2013,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,0,978,25,2,65,144
3037,1983,PhD,Couple,50150,20/06/2013,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,0,410,16,2,33,150
1473,1960,2n Cycle,Single,47823,23/07/2013,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,1,72,7,2,56,149
1016,1959,PhD,Single,34554,30/03/2014,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0,1,55,7,2,57,140
4518,1979,Graduation,Couple,85693,20/04/2013,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0,1,1169,27,3,37,152
9370,1945,PhD,Couple,65846,17/05/2013,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0,0,1120,16,2,71,151
8908,1959,Graduation,Couple,87195,08/05/2014,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1,0,1097,20,2,57,139
8373,1979,Highschool,Couple,24594,10/12/2013,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0,1,29,5,3,37,144
7533,1964,Graduation,Couple,49096,24/09/2013,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,0,2,187,13,4,52,147
2683,1969,Graduation,Couple,52413,02/02/2013,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,0,2,910,26,4,47,154
3629,1978,Graduation,Single,38557,19/12/2012,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,3,11,0,1,145,9,2,38,156
10991,1960,Master,Couple,89058,07/12/2012,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0,0,850,14,2,56,156
5077,1979,Graduation,Couple,77298,02/11/2013,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0,1,969,24,3,37,145
7431,1991,PhD,Single,68126,10/11/2012,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,3,11,1,0,1820,17,1,25,157
3267,1963,Master,Couple,57288,25/06/2014,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,3,11,0,1,608,20,3,53,137
999,1991,Graduation,Single,86037,02/01/2013,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,3,11,1,0,730,25,1,25,155
9215,1980,PhD,Couple,43974,12/12/2012,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,3,11,0,1,551,21,3,36,156
2286,1962,Graduation,Single,50785,10/09/2013,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,3,11,0,2,114,8,3,54,147
1592,1970,Graduation,Couple,90765,24/01/2014,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,3,11,0,0,1724,15,2,46,143
367,1978,2n Cycle,Couple,36550,19/02/2013,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,3,11,0,1,577,20,3,38,154
5234,1967,2n Cycle,Couple,30753,11/07/2013,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,3,11,0,2,81,7,4,49,149
9862,1969,Graduation,Couple,21918,14/11/2013,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,3,11,0,1,33,7,3,47,145
9805,1953,Master,Couple,56129,20/06/2013,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,3,11,0,1,660,22,3,63,150
6205,1967,Master,Single,32557,24/02/2014,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,3,11,1,1,80,9,2,49,141
8442,1985,Master,Couple,19510,04/09/2013,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0,2,30,6,4,31,147
7386,1976,Graduation,Single,30992,22/04/2013,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,3,11,0,1,43,5,2,40,152
7215,1983,Graduation,Single,101970,12/03/2013,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,3,11,1,0,1135,27,1,33,153
1491,1965,2n Cycle,Couple,71488,18/02/2013,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,3,11,0,0,559,16,2,51,154
11071,1984,Graduation,Single,79607,21/04/2013,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,3,11,1,0,1923,16,1,32,152
3381,1953,Master,Couple,54348,08/06/2014,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,3,11,0,2,90,8,4,63,138
8268,1961,PhD,Couple,54776,11/07/2013,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,3,11,0,1,404,17,3,55,149
11051,1956,PhD,Couple,77376,10/05/2014,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,3,11,0,2,661,23,4,60,139
8026,1952,Graduation,Couple,62998,30/09/2013,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,3,11,0,1,463,19,3,64,146
433,1958,Master,Single,61331,10/03/2013,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,3,11,0,2,632,23,3,58,153
9597,1969,Graduation,Couple,73448,10/02/2014,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,3,11,0,0,725,19,2,47,142
1295,1963,Graduation,Couple,59759,11/08/2013,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,3,11,0,1,725,19,3,53,148
5290,1964,PhD,Couple,41551,14/08/2013,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,3,11,0,2,279,16,4,52,148
1685,1967,PhD,Couple,62981,17/03/2013,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,3,11,0,0,1482,23,2,49,153
5342,1976,Highschool,Single,9548,08/08/2012,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,3,11,0,1,29,6,2,40,160
9579,1959,PhD,Couple,33762,07/07/2013,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,3,11,0,3,106,9,5,57,149
7660,1973,PhD,Single,35860,19/05/2014,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,3,11,1,2,49,6,3,43,139
1461,1965,PhD,Single,36921,28/07/2013,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,3,11,0,2,38,7,3,51,149
821,1992,Master,Single,92859,19/10/2012,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,3,11,0,0,2077,22,1,24,158
11084,1976,Master,Couple,65104,14/11/2013,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,3,11,1,1,1053,17,3,40,145
8690,1962,Graduation,Couple,86111,19/04/2013,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,3,11,0,0,1385,23,2,54,152
2937,1974,PhD,Single,68352,28/08/2013,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,3,11,0,1,871,25,2,42,147
9701,1988,Graduation,Couple,41883,19/03/2013,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,3,11,0,1,312,12,3,28,153
9949,1976,Graduation,Couple,59809,18/10/2012,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,3,11,0,2,877,15,4,40,158
10837,1975,Graduation,Couple,23957,28/10/2012,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,3,11,1,1,68,6,3,41,158
3120,1981,Graduation,Couple,38547,28/08/2013,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,3,11,0,1,22,4,3,35,147
5885,1973,2n Cycle,Couple,35688,22/08/2012,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,3,11,0,3,211,16,5,43,160
4050,1966,Master,Couple,49605,21/06/2014,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,3,11,0,0,127,8,2,50,138
3830,1953,Master,Couple,59354,24/04/2014,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,3,11,0,2,459,16,4,63,140
7987,1969,Graduation,Couple,65747,07/03/2014,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,3,11,0,1,460,19,3,47,141
7798,1972,2n Cycle,Couple,46344,14/12/2012,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,3,11,0,1,429,17,3,44,156
92,1988,Graduation,Single,34176,12/05/2014,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,3,11,0,1,89,11,2,28,139
7055,1952,PhD,Couple,61010,09/10/2012,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,3,11,0,1,1021,26,3,64,158
10240,1949,Graduation,Couple,69372,19/02/2013,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,3,11,1,0,1381,21,2,67,154
3025,1958,Graduation,Single,49967,08/07/2013,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,3,11,0,1,306,15,2,58,149
9283,1978,Graduation,Single,60199,12/09/2013,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,3,11,0,3,18,4,4,38,147
9970,1977,Graduation,Couple,55375,17/10/2013,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,3,11,0,1,162,9,3,39,146
2730,1955,Graduation,Single,80317,20/08/2013,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,3,11,0,0,1231,18,1,61,148
2795,1958,Master,Single,30523,01/07/2013,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,3,11,0,3,13,4,4,58,149
9260,1945,PhD,Couple,70356,05/11/2012,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,3,11,0,0,1706,27,2,71,157
8182,1984,Graduation,Couple,23228,05/01/2014,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,3,11,0,1,121,11,3,32,143
10095,1975,PhD,Single,74165,01/05/2013,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,3,11,0,0,1293,20,1,41,151
8475,1973,PhD,Couple,157243,01/03/2014,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,3,11,0,1,1608,37,3,43,141
4370,1966,Graduation,Couple,43482,13/11/2013,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,3,11,0,3,88,9,5,50,145
10573,1953,Graduation,Single,62551,18/11/2013,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,3,11,0,0,421,18,1,63,145
3712,1959,Graduation,Single,52332,28/08/2013,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,3,11,0,0,259,12,1,57,147
6637,1988,Graduation,Single,66951,02/11/2013,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,3,11,0,0,1117,15,1,28,145
3152,1957,Graduation,Couple,26091,25/02/2014,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,3,11,0,2,89,9,4,59,141
5610,1965,Graduation,Couple,33456,21/04/2014,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0,2,36,6,4,51,140
6460,1982,Graduation,Couple,28718,13/07/2013,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,3,11,0,1,57,7,3,34,149
1349,1970,Graduation,Couple,50447,21/04/2014,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,3,11,0,2,148,8,4,46,140
